Group,Replicate,Fastq_1,Fastq_2,Antibody,Control
HDAC3_human_IP,3,fastq/ENCFF942ZRE.fastq.gz,fastq/ENCFF908SKY.fastq.gz,HDAC3_human,WT_input
HDAC3_human_IP,4,fastq/ENCFF770NDG.fastq.gz,fastq/ENCFF369MSV.fastq.gz,HDAC3_human,WT_input
WT_input,3,fastq/ENCFF498JMO.fastq.gz,fastq/ENCSR632PAG.fastq.gz		
WT_input,4,fastq/ENCFF259GQA.fastq.gz,fastq/ENCFF837MIV.fastq.gz		
WT_SIN3B_IP,1,fastq/ENCFF526SSV.fastq.gz,fastq/ENCFF953OIR.fastq.gz,SIN3B,WT_INPUT
WT_SIN3B_IP,2,fastq/ENCFF044ZTQ.fastq.gz,fastq/ENCFF119GEQ.fastq.gz,SIN3B,WT_INPUT
WT_INPUT,1,fastq/ENCFF498JMO.fastq.gz,fastq/ENCFF502GTS.fastq.gz		
WT_INPUT,2,fastq/ENCFF259GQA.fastq.gz,fastq/ENCFF837MIV.fastq.gz		
DDX20-human,1,fastq/ENCFF071FDG.fastq.gz,fastq/ENCFF881HGO.fastq.gz,DDX20,rabbit-IgG-control
DDX20-human,2,fastq/ENCFF077SBC.fastq.gz,fastq/ENCFF706WJQ.fastq.gz,DDX20,rabbit-IgG-control
DDX20-human,3,fastq/ENCFF129CFJ.fastq.gz,fastq/ENCFF674JSK.fastq.gz,DDX20,rabbit-IgG-control
DDX20-human,4,fastq/ENCFF771DFR.fastq.gz,fastq/ENCFF931EDX.fastq.gz,DDX20,rabbit-IgG-control
rabbit-IgG-control,1,fastq/ENCFF002EFA.fastq.gz,fastq/ENCFF002EFD.fastq.gz		
rabbit-IgG-control,2,fastq/ENCFF969JRS.fastq.gz,fastq/ENCFF467ZVS.fastq.gz		
rabbit-IgG-control,3,fastq/ENCFF467ZVS.fastq.gz,fastq/ENCFF969JRS.fastq.gz		
rabbit-IgG-control,4,fastq/ENCFF002EFF.fastq.gz,fastq/ENCFF002EFH.fastq.gz		
